688 D688 118 25.5
689 D689 118.5 25.5
690 D690 119 25.5
691 D691 119.5 25.5
692 D692 120 25.5
693 D693 120.5 25.5
694 D694 121 25.5
695 D695 121.5 25.5
696 D696 122 25.5
697 D697 122.5 25.5
698 D698 123 25.5
699 D699 123.5 25.5
700 D700 124 25.5
701 D701 124.5 25.5
702 D702 125 25.5
703 D703 125.5 25.5
704 D704 126 25.5
705 D705 126.5 25.5
706 D706 127 25.5
707 D707 127.5 25.5
708 D708 128 25.5
709 D709 128.5 25.5
710 D710 129 25.5
711 D711 129.5 25.5
712 D712 130 25.5
713 D713 130.5 25.5
714 D714 131 25.5
715 D715 131.5 25.5
716 D716 132 25.5
717 D717 132.5 25.5
718 D718 133 25.5
719 D719 133.5 25.5
720 D720 134 25.5
721 D721 134.5 25.5
722 D722 135 25.5
723 D723 135.5 25.5
724 D724 136 25.5
725 D725 136.5 25.5
726 D726 137 25.5
727 D727 137.5 25.5
728 D728 138 25.5
729 D729 138.5 25.5
730 D730 139 25.5
731 D731 139.5 25.5
732 D732 140 25.5
733 D733 110 26
734 D734 110.5 26
735 D735 111 26
736 D736 111.5 26
737 D737 112 26
738 D738 112.5 26
739 D739 113 26
740 D740 113.5 26
741 D741 114 26
742 D742 114.5 26
743 D743 115 26
744 D744 115.5 26
745 D745 116 26
746 D746 116.5 26
747 D747 117 26
748 D748 117.5 26
749 D749 118 26
750 D750 118.5 26
751 D751 119 26
752 D752 119.5 26
753 D753 120 26
754 D754 120.5 26
755 D755 121 26
756 D756 121.5 26
757 D757 122 26
758 D758 122.5 26
759 D759 123 26
760 D760 123.5 26
761 D761 124 26
762 D762 124.5 26
763 D763 125 26
764 D764 125.5 26
765 D765 126 26
766 D766 126.5 26
767 D767 127 26
768 D768 127.5 26
769 D769 128 26
770 D770 128.5 26
771 D771 129 26
772 D772 129.5 26
773 D773 130 26
774 D774 130.5 26
775 D775 131 26
776 D776 131.5 26
777 D777 132 26
778 D778 132.5 26
779 D779 133 26
780 D780 133.5 26
781 D781 134 26
782 D782 134.5 26
783 D783 135 26
784 D784 135.5 26
785 D785 136 26
786 D786 136.5 26
787 D787 137 26
788 D788 137.5 26
789 D789 138 26
790 D790 138.5 26
791 D791 139 26
792 D792 139.5 26
793 D793 140 26
794 D794 110 26.5
795 D795 110.5 26.5
796 D796 111 26.5
797 D797 111.5 26.5
798 D798 112 26.5
799 D799 112.5 26.5
800 D800 113 26.5
801 D801 113.5 26.5
802 D802 114 26.5
803 D803 114.5 26.5
804 D804 115 26.5
805 D805 115.5 26.5
806 D806 116 26.5
807 D807 116.5 26.5
808 D808 117 26.5
809 D809 117.5 26.5
810 D810 118 26.5
811 D811 118.5 26.5
812 D812 119 26.5
813 D813 119.5 26.5
814 D814 120 26.5
815 D815 120.5 26.5
816 D816 121 26.5
817 D817 121.5 26.5
818 D818 122 26.5
819 D819 122.5 26.5
820 D820 123 26.5
821 D821 123.5 26.5
822 D822 124 26.5
823 D823 124.5 26.5
824 D824 125 26.5
825 D825 125.5 26.5
826 D826 126 26.5
827 D827 126.5 26.5
828 D828 127 26.5
829 D829 127.5 26.5
830 D830 128 26.5
831 D831 128.5 26.5
832 D832 129 26.5
833 D833 129.5 26.5
834 D834 130 26.5
835 D835 130.5 26.5
836 D836 131 26.5
837 D837 131.5 26.5
838 D838 132 26.5
839 D839 132.5 26.5
840 D840 133 26.5
841 D841 133.5 26.5
842 D842 134 26.5
843 D843 134.5 26.5
844 D844 135 26.5
845 D845 135.5 26.5
846 D846 136 26.5
847 D847 136.5 26.5
848 D848 137 26.5
849 D849 137.5 26.5
850 D850 138 26.5
851 D851 138.5 26.5
852 D852 139 26.5
853 D853 139.5 26.5
854 D854 140 26.5
855 D855 110 27
856 D856 110.5 27
857 D857 111 27
858 D858 111.5 27
859 D859 112 27
860 D860 112.5 27
861 D861 113 27
862 D862 113.5 27
863 D863 114 27
864 D864 114.5 27
865 D865 115 27
866 D866 115.5 27
867 D867 116 27
868 D868 116.5 27
869 D869 117 27
870 D870 117.5 27
871 D871 118 27
872 D872 118.5 27
873 D873 119 27
874 D874 119.5 27
875 D875 120 27
876 D876 120.5 27
877 D877 121 27
878 D878 121.5 27
879 D879 122 27
880 D880 122.5 27
881 D881 123 27
882 D882 123.5 27
883 D883 124 27
884 D884 124.5 27
885 D885 125 27
886 D886 125.5 27
887 D887 126 27
888 D888 126.5 27
889 D889 127 27
890 D890 127.5 27
891 D891 128 27
892 D892 128.5 27
893 D893 129 27
894 D894 129.5 27
895 D895 130 27
896 D896 130.5 27
897 D897 131 27
898 D898 131.5 27
899 D899 132 27
900 D900 132.5 27
901 D901 133 27
902 D902 133.5 27
903 D903 134 27
904 D904 134.5 27
905 D905 135 27
906 D906 135.5 27
907 D907 136 27
908 D908 136.5 27
909 D909 137 27
910 D910 137.5 27
911 D911 138 27
912 D912 138.5 27
913 D913 139 27
914 D914 139.5 27
915 D915 140 27
916 D916 110 27.5
917 D917 110.5 27.5
918 D918 111 27.5
919 D919 111.5 27.5
920 D920 112 27.5
921 D921 112.5 27.5
922 D922 113 27.5
923 D923 113.5 27.5
924 D924 114 27.5
925 D925 114.5 27.5
926 D926 115 27.5
927 D927 115.5 27.5
928 D928 116 27.5
929 D929 116.5 27.5
930 D930 117 27.5
931 D931 117.5 27.5
932 D932 118 27.5
933 D933 118.5 27.5
934 D934 119 27.5
935 D935 119.5 27.5
936 D936 120 27.5
937 D937 120.5 27.5
938 D938 121 27.5
939 D939 121.5 27.5
940 D940 122 27.5
941 D941 122.5 27.5
942 D942 123 27.5
943 D943 123.5 27.5
944 D944 124 27.5
945 D945 124.5 27.5
946 D946 125 27.5
947 D947 125.5 27.5
948 D948 126 27.5
949 D949 126.5 27.5
950 D950 127 27.5
951 D951 127.5 27.5
952 D952 128 27.5
953 D953 128.5 27.5
954 D954 129 27.5
955 D955 129.5 27.5
956 D956 130 27.5
957 D957 130.5 27.5
958 D958 131 27.5
959 D959 131.5 27.5
960 D960 132 27.5
961 D961 132.5 27.5
962 D962 133 27.5
963 D963 133.5 27.5
964 D964 134 27.5
965 D965 134.5 27.5
966 D966 135 27.5
967 D967 135.5 27.5
968 D968 136 27.5
969 D969 136.5 27.5
970 D970 137 27.5
971 D971 137.5 27.5
972 D972 138 27.5
973 D973 138.5 27.5
974 D974 139 27.5
975 D975 139.5 27.5
976 D976 140 27.5
977 D977 110 28
978 D978 110.5 28
979 D979 111 28
980 D980 111.5 28
981 D981 112 28
982 D982 112.5 28
983 D983 113 28
984 D984 113.5 28
985 D985 114 28
986 D986 114.5 28
987 D987 115 28
988 D988 115.5 28
989 D989 116 28
990 D990 116.5 28
991 D991 117 28
992 D992 117.5 28
993 D993 118 28
994 D994 118.5 28
995 D995 119 28
996 D996 119.5 28
997 D997 120 28
998 D998 120.5 28
999 D999 121 28
1000 D1000 121.5 28
1001 D1001 122 28
1002 D1002 122.5 28
1003 D1003 123 28
1004 D1004 123.5 28
1005 D1005 124 28
1006 D1006 124.5 28
1007 D1007 125 28
1008 D1008 125.5 28
1009 D1009 126 28
1010 D1010 126.5 28
1011 D1011 127 28
1012 D1012 127.5 28
1013 D1013 128 28
1014 D1014 128.5 28
1015 D1015 129 28
1016 D1016 129.5 28
1017 D1017 130 28
1018 D1018 130.5 28
1019 D1019 131 28
1020 D1020 131.5 28
1021 D1021 132 28
1022 D1022 132.5 28
1023 D1023 133 28
1024 D1024 133.5 28
1025 D1025 134 28
1026 D1026 134.5 28
1027 D1027 135 28
1028 D1028 135.5 28
1029 D1029 136 28
1030 D1030 136.5 28
1031 D1031 137 28
1032 D1032 137.5 28
1033 D1033 138 28
1034 D1034 138.5 28
1035 D1035 139 28
1036 D1036 139.5 28
1037 D1037 140 28
1038 D1038 110 28.5
1039 D1039 110.5 28.5
1040 D1040 111 28.5
1041 D1041 111.5 28.5
1042 D1042 112 28.5
1043 D1043 112.5 28.5
1044 D1044 113 28.5
1045 D1045 113.5 28.5
1046 D1046 114 28.5
1047 D1047 114.5 28.5
1048 D1048 115 28.5
1049 D1049 115.5 28.5
1050 D1050 116 28.5
1051 D1051 116.5 28.5
1052 D1052 117 28.5
1053 D1053 117.5 28.5
1054 D1054 118 28.5
1055 D1055 118.5 28.5
1056 D1056 119 28.5
1057 D1057 119.5 28.5
1058 D1058 120 28.5
1059 D1059 120.5 28.5
1060 D1060 121 28.5
1061 D1061 121.5 28.5
1062 D1062 122 28.5
1063 D1063 122.5 28.5
1064 D1064 123 28.5
1065 D1065 123.5 28.5
1066 D1066 124 28.5
1067 D1067 124.5 28.5
1068 D1068 125 28.5
1069 D1069 125.5 28.5
1070 D1070 126 28.5
1071 D1071 126.5 28.5
1072 D1072 127 28.5
1073 D1073 127.5 28.5
1074 D1074 128 28.5
1075 D1075 128.5 28.5
1076 D1076 129 28.5
1077 D1077 129.5 28.5
1078 D1078 130 28.5
1079 D1079 130.5 28.5
1080 D1080 131 28.5
1081 D1081 131.5 28.5
1082 D1082 132 28.5
1083 D1083 132.5 28.5
1084 D1084 133 28.5
1085 D1085 133.5 28.5
1086 D1086 134 28.5
1087 D1087 134.5 28.5
1088 D1088 135 28.5
1089 D1089 135.5 28.5
1090 D1090 136 28.5
1091 D1091 136.5 28.5
1092 D1092 137 28.5
1093 D1093 137.5 28.5
1094 D1094 138 28.5
1095 D1095 138.5 28.5
1096 D1096 139 28.5
1097 D1097 139.5 28.5
1098 D1098 140 28.5
1099 D1099 110 29
1100 D1100 110.5 29
1101 D1101 111 29
1102 D1102 111.5 29
1103 D1103 112 29
1104 D1104 112.5 29
1105 D1105 113 29
1106 D1106 113.5 29
1107 D1107 114 29
1108 D1108 114.5 29
1109 D1109 115 29
1110 D1110 115.5 29
1111 D1111 116 29
